Name,Price,Comments,Author,Publish Date,Publisher
 Flipped 英文原版 怦然心动 英文 进口图书（韩寒推荐电影《怦然心动》同名原著 你，从未忘记你的,22.40,49234条评论,WendelinVanDraanen温德林・凡・德雷宁,2001-01-01,Knopf Books for Young Readers
 哈利波特1-7英语原版 全集英文原版书籍harry potter英语全套英国小说正版jk罗琳哈利波特与魔法石名著 送哈利,328.00,49914条评论,J. K Rowling,2020-12-01,Bloomsbury Publishing PLC
 现货 哈利波特套装 英文原版1-7全集 Harry Potter Box Set 英国版 JK罗琳哈利波特系列小说套装,310.00,10335条评论,J. K. Rowling,2014-10-09,Bloomsbury Publishing PLC
 追风筝的人英文原版小说 英文版The Kite Runner英文原版 进口图书 胡赛尼 处女作 销售榜前列 灿烂千阳群山,17.80,25214条评论,胡赛尼(Khaled Hosseini),2013-07-03,Penguin USA
 杀死一只知更鸟 英文原版小说 进口图书 英文版 英文原版 To Kill a Mockingbird Harper Le,34.00,28445条评论,HarpeLee,1988-10-11,Grand Central Publishing
 【中商原版】相约星期二 英文原版 Tuesdays With Morrie 英文版 进口正版,23.00,14357条评论,米奇?阿尔博姆 (Mitch Albom),1999-01-31,Bantam Doubleday Dell Publishing Group
 奇迹男孩英文版原版wonder R.J. Palacio Corgi 帕拉秋 少年小说 奥斯卡提名 奇迹 温馨励志 同名,22.00,26040条评论,[,2013-01-01,Random House
 【中商原版】傲慢与偏见 英文原版 Pride and Prejudice Jane Austen 简奥斯汀 世界名著 经,18.00,7683条评论,Jane Austen,1983-12-01,Bantam Classics
 英文原版 哈利波特与密室 Harry Potter and the Chamber of Secrets 哈利波特 2,35.00,6656条评论,"Rowling, J. K.",2014-09-01,Bloomsbury Publishing PLC
 【中商原版】动物农场庄园 英文原版 Animal Farm George Orwell 乔治奥威尔 经典英文原版名著,24.00,9694条评论,eorge Orwell,1996-01-01,Signet Classics
 杀死一只知更鸟英语版 To Kill a Mocking bird进口英文原版小说书搭flipped相约星期二追风筝的人,31.00,2656条评论,Harper Lee,2019-03-21,Random
 【中商原版】小妇人英文原版小说英文版Little Women Signet Classics 英文原版书 进口书进口经典,21.00,5768条评论,Louisa May Alcott,1983-04-01,Bantam Classics
 【包邮】福尔摩斯英文原版小说 探案全集英语原版书籍全套 正版Sherlock Holmes 夏洛克经典名著大侦探悬疑推理,45.00,3842条评论,Arthur Conan Doyle,2003-05-09,Bantam Classic
 无人生还 英文原版小说And Then There Were None阿加莎克里斯蒂Agatha Christie进口原,33.80,1210条评论,Agatha Christie,2020-10-03,HarperCollins
 福尔摩斯探案全集英文原版小说 青少年小说 英文版 侦探小说 Sherlock Holmes福尔摩斯英文原版书 进口小说原,34.00,21321条评论,Sir Arthur Conan Doyle,1986-10-01,Bantam Classics
 现货 马斯克自传 英文原版 Elon Musk 埃隆马斯克 特斯拉Space X 传记作家沃尔特・艾萨克森作品 Walt,155.00,740条评论,WALTER ISAACSON,2023-09-12,Simon & Schuster
 英文原版 哈利波特与火焰杯Harry Potter and the Goblet of Fire 哈利波特4 英国版(N,34.00,2355条评论,"Rowling, J. K.",2014-09-01,Bloomsbury Publishing PLC
 现货 杀死一只知更鸟 英文原版 To Kill a Mockingbird Harper Lee 文学经典 普利策奖得奖,29.00,1734条评论,"Lee, Harper",2014-02-01,Grand Central Publishing
 【中商原版】Dune 沙丘六部曲 全套 系列1-6套装 英文原版 经典科幻小说 星云奖雨果奖作品 Frank Herbe,255.00,696条评论,Frank Herbert,2019-06-01,Ace Books
 英文原版 Wrinkle in Time 时间的皱纹 1963年纽伯瑞金奖小说,28.00,4360条评论,Madeleine L'Engle,2008-05-01,Square Fish
 【中商原版】Moby-Dick 英文原版小说 白鲸 赫尔曼 麦尔维尔 进口英文原版书籍 世界经典名著小说,14.00,1895条评论,[,2003-01-01,Bantam Classics
